code,date,big1000,big400,retail,people
9908,20260918,74.71,80.5,10.62,16389.0
9910,20260918,86.78,88.78,7.28,24172.0
9911,20260918,61.12,67.42,22.91,31202.0
9912,20260918,54.91,62.74,23.08,61766.0
9914,20260918,53.77,64.94,23.2,66914.0
9917,20260918,70.48,76.86,14.57,56487.0
9918,20260918,77.2,85.06,4.83,25128.0
9919,20260918,42.41,45.36,43.89,63463.0
9921,20260918,59.13,68.59,18.73,28572.0
9922,20260918,59.04,69.34,15.94,10416.0
9924,20260918,52.66,61.09,27.21,13044.0
9925,20260918,61.47,68.33,19.66,19390.0
9926,20260918,73.65,83.81,5.06,4224.0
9927,20260918,52.67,58.89,29.66,13990.0
9928,20260918,67.16,75.18,14.66,7125.0
9929,20260918,83.92,88.07,4.91,3746.0
9930,20260918,76.43,77.69,15.2,12242.0
9931,20260918,73.39,78.03,7.97,7811.0
9933,20260918,56.83,62.91,20.61,50414.0
9934,20260918,59.1,66.75,17.13,13510.0
9935,20260918,50.02,61.97,17.18,57720.0
9936,20260918,20.09,29.08,42.66,11626.0
9937,20260918,82.15,89.18,3.83,15741.0
9938,20260918,45.13,52.93,30.03,49994.0
9939,20260918,53.78,62.81,24.26,27826.0
9940,20260918,77.92,81.69,10.32,17051.0
9941,20260918,66.83,70.61,22.69,43485.0
9942,20260918,39.13,52.33,30.33,9619.0
9943,20260918,69.48,71.1,24.6,15961.0
9944,20260918,66.16,78.82,12.22,10404.0
9945,20260918,62.09,66.26,19.62,101722.0
9946,20260918,78.44,81.6,10.63,13974.0
9947,20260918,0.0,0.0,0.0,1.0
9948,20260918,0.0,0.0,99.97,73.0
9949,20260918,54.92,72.9,15.71,11034.0
9950,20260918,80.99,83.87,9.87,3611.0
9951,20260918,39.25,46.5,39.04,24283.0
9952,20260918,0.0,0.0,43.32,36.0
9953,20260918,0.0,0.0,57.28,518.0
9955,20260918,55.34,61.96,29.91,15103.0
9956,20260918,0.0,0.0,69.31,43.0
9957,20260918,95.5,96.06,2.2,12709.0
9958,20260918,41.23,48.74,38.74,60167.0
9959,20260918,0.0,0.0,76.32,23.0
9960,20260918,56.82,76.55,9.67,9521.0
9961,20260918,89.73,93.39,2.19,321.0
9962,20260918,40.04,46.68,36.24,28888.0
9963,20260918,100.0,100.0,0.0,1.0
9964,20260918,100.0,100.0,0.0,1.0
9965,20260918,0.0,0.0,89.04,68.0
